x,y,Rule,class,Pie,coverage,certainty,setosa,versicolor,virginica,Mix
13.44534302,8.643008232,1,setosa,"100,0,0",1,1,100,0,0,"I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50"
-9.213510513,-7.31749773,2,versicolor,"0,78.125,21.875",0.714285714,0.78125,0,78.125,21.875,"I54,I56,I58,I60,I61,I62,I63,I64,I65,I67,I68,I70,I71,I72,I74,I79,I80,I81,I82,I83,I84,I85,I86,I89,I90,I91,I92,I93,I94,I95,I96,I97,I99,I100,I102,I107,I114,I115,I120,I122,I128,I135,I139,I143,I150"
-5.665228367,-3.700321674,3,versicolor,"0,83.3333333333333,16.6666666666667",0.285714286,0.833333333,0,83.33333333,16.66666667,"I51,I52,I53,I55,I57,I59,I66,I69,I73,I75,I76,I77,I78,I87,I88,I98,I130,I134"
7.125257492,-17.25731087,4,virginica,"0,0,100",0.742857143,1,0,0,100,"I101,I103,I104,I105,I106,I108,I109,I110,I111,I112,I113,I116,I117,I118,I119,I121,I123,I124,I125,I126,I127,I129,I131,I132,I133,I136,I137,I138,I140,I141,I142,I144,I145,I146,I147,I148,I149"
13.14819431,8.273814201,5,setosa,"100,0,0",1,1,100,0,0,"I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50"
-9.47458744,-7.580455303,6,versicolor,"0,100,0",0.914285714,1,0,100,0,"I51,I52,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I72,I74,I75,I76,I77,I79,I80,I81,I82,I83,I85,I86,I87,I88,I89,I90,I91,I92,I93,I94,I95,I96,I97,I98,I99,I100,I107"
-5.233997822,-3.265936375,7,virginica,"0,40,60",0.085714286,0.6,0,40,60,"I53,I73,I78,I84,I120,I130,I134,I135"
6.900013447,-17.03153229,8,virginica,"0,3.03030303030303,96.969696969697",0.914285714,0.96969697,0,3.03030303,96.96969697,"I71,I101,I102,I103,I104,I105,I106,I108,I109,I110,I111,I112,I113,I114,I115,I116,I117,I118,I119,I121,I122,I123,I124,I125,I126,I127,I128,I129,I131,I132,I133,I136,I137,I138,I139,I140,I141,I142,I143,I144,I145,I146,I147,I148,I149,I150"
13.81731606,8.872450829,9,setosa,"91.1764705882353,8.82352941176471,0",0.885714286,0.911764706,91.17647059,8.823529412,0,"I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I17,I18,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I35,I36,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I58,I60,I61,I85,I94,I99,I107"
-9.770816803,-7.863458633,10,versicolor,"0,91.1764705882353,8.82352941176471",0.885714286,0.911764706,0,91.17647059,8.823529412,"I51,I52,I53,I54,I55,I56,I57,I59,I62,I63,I64,I65,I66,I67,I68,I69,I70,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I86,I87,I88,I89,I90,I91,I92,I93,I95,I96,I97,I98,I100,I120,I130,I134,I135"
13.78318977,8.208262444,11,setosa,"100,0,0",0.114285714,1,100,0,0,"I15,I16,I19,I34,I37"
6.584577084,-16.71597862,12,virginica,"0,3.03030303030303,96.969696969697",0.914285714,0.96969697,0,3.03030303,96.96969697,"I71,I101,I102,I103,I104,I105,I106,I108,I109,I110,I111,I112,I113,I114,I115,I116,I117,I118,I119,I121,I122,I123,I124,I125,I126,I127,I128,I129,I131,I132,I133,I136,I137,I138,I139,I140,I141,I142,I143,I144,I145,I146,I147,I148,I149,I150"
-6.766728318,-14.25322238,13,,,,,,,,
-6.766728318,-11.2491339,14,,,,,,,,
-6.766728318,0.767220042,15,,,,,,,,
-6.766728318,3.771308527,16,,,,,,,,
-6.766728318,6.775397012,17,,,,,,,,
-3.762639833,-14.25322238,18,,,,,,,,
-3.762639833,-11.2491339,19,,,,,,,,
-3.762639833,-8.245045412,20,,,,,,,,
-3.762639833,0.767220042,21,,,,,,,,
-3.762639833,3.771308527,22,,,,,,,,
-3.762639833,6.775397012,23,,,,,,,,
-0.758551348,-14.25322238,24,,,,,,,,
-0.758551348,-11.2491339,25,,,,,,,,
-0.758551348,-8.245045412,26,,,,,,,,
-0.758551348,-5.240956928,27,,,,,,,,
-0.758551348,-2.236868443,28,,,,,,,,
-0.758551348,0.767220042,29,,,,,,,,
-0.758551348,3.771308527,30,,,,,,,,
-0.758551348,6.775397012,31,,,,,,,,
2.245537137,-14.25322238,32,,,,,,,,
2.245537137,-11.2491339,33,,,,,,,,
2.245537137,-8.245045412,34,,,,,,,,
2.245537137,-5.240956928,35,,,,,,,,
2.245537137,-2.236868443,36,,,,,,,,
2.245537137,0.767220042,37,,,,,,,,
2.245537137,3.771308527,38,,,,,,,,
2.245537137,6.775397012,39,,,,,,,,
5.249625622,-14.25322238,40,,,,,,,,
5.249625622,-11.2491339,41,,,,,,,,
5.249625622,-8.245045412,42,,,,,,,,
5.249625622,-5.240956928,43,,,,,,,,
5.249625622,-2.236868443,44,,,,,,,,
5.249625622,0.767220042,45,,,,,,,,
5.249625622,3.771308527,46,,,,,,,,
5.249625622,6.775397012,47,,,,,,,,
8.253714107,-14.25322238,48,,,,,,,,
8.253714107,-11.2491339,49,,,,,,,,
8.253714107,-8.245045412,50,,,,,,,,
8.253714107,-5.240956928,51,,,,,,,,
8.253714107,-2.236868443,52,,,,,,,,
8.253714107,0.767220042,53,,,,,,,,
8.253714107,3.771308527,54,,,,,,,,
8.253714107,6.775397012,55,,,,,,,,
11.25780259,-14.25322238,56,,,,,,,,
11.25780259,-11.2491339,57,,,,,,,,
11.25780259,-8.245045412,58,,,,,,,,
11.25780259,-5.240956928,59,,,,,,,,
11.25780259,-2.236868443,60,,,,,,,,
11.25780259,0.767220042,61,,,,,,,,
11.25780259,3.771308527,62,,,,,,,,
